"kelime","anlam"
"zuhur","ortaya çıkma, belirme"
"cehl-i basit","basit cehalet, karmaşık olmayan cahillik"
"cehl-i mürekkeb","bilmediğini de bilmeme, kara cahillik"
"efkâr-ı hâzıra","şimdiki zamana ait fikirler, düşünceler"
"had","(mant.) bir kavramı, aslının ve özünün sınırlarını çizerek tanımlama; “İnsan, konuşan hayvandır” gibi"
"hakaik-i tarihiye","tarihî gerçekler"
"ihyâ-yı din","dinin diriltilmesi, canlandırılması"
"ihyâ-yı millet","milletin diriltilmesi, canlandırılması"
"irca","döndürme, yönlendirme"
"ism-i camid","katı, donuk isim"
"izah","açıklama"
"kalb etme","dönüştürme"
"kuvve-i mıknatısiye","mıknatısın çekim gücü"
"manyetizma","telkin ve hipnozla bir kimseyi tesir altına alma"
"meçhul","bilinmeyen"
"mümas","temas eden, dokunan, ilişen"
"müsemmâ","isimlendirilmiş, isim sahibi"
"nur-u hayat","hayatın nuru, ışığı"
"resm","(mant.) bir kavramı sıfatları ve nitelikleri itibariyle tanıtma işlemi; “İnsan, gülen bir hayvandır” gibi"
"şeriat","Allah tarafından bildirilen hükümlerin hepsi, İslâmiyet"
"tarif","(mant.) bir kavramın içeriğini belirleme, sınırlama ve tanımlama işlemi"
"tedennî","alçalma, gerileme, geri kalma"
"telepati","birinin düşündüklerini veya uzakta geçen bir olayı, hiç bir bağlantı olmadan algılama"
"temessük","sarılma, tutunma"
"terakki","ilerleme, yükselme"
"tesahül","kolay görerek ihmal etme, gevşeklik gösterme"
"ümmet","İslâm cemaati, Müslümanların tümü"
"vâzı","bir tarif, sistem vs. koyan, yerleştiren"
"vech","yön, taraf"
"vechi muzlim","karanlık taraf, yön"
"zulmet-i münevvere","aydınlıkmış gibi gösterilen karanlık, sözde aydınlık"
