"muhtemel","ihtimal dahilinde"
"kıyamet","dünyanın sonu, varlığın bozulup dağılması"
"vaziyet","durum, hal"
"NOTA","bildiri"
"ekseriyetle","çoğunlukla"
"Fâtır-ı Hakîm","her şeyi hikmetle ve benzersiz şekilde yaratan Allah"
"âdet","kanun, genel uygulama"
"Ehemmiyetli","değerli, önemli"
"kıymettar","kıymetli, değerli"
"ekser","çoğunluk"
"eşya","şeyler, varlıklar"
"misl","benzer"
"tebeddül","değişim"
"kıymettar","kıymetli, değerli"
"ehemmiyetli","değerli, önemli"
"Yevmî","günlük"
"senevî","yıllık"
"asrî","yüzyıllık"
"haşir","yeniden diriltmek"
"umum","genel"
"kaide-i âdetullah","Allah'ın adeti olan konum, kural"
"ekseriyetle","çoğunlukla"
"muttarid","düzenli, kesintisiz"
"kaide","kural, prensip"
"binaen","dayanarak"
"fünun","ilimler"
"ittifak","anlaşma, birlik"
"ulûm","ilimler"
"şehadet","şahitlik"
"hilkat şeceresi","yaratılış ağacı"
"mahlûkat","varlıklar"
"ehemmiyetli","değerli, önemli"
"mevcudat","varlıklar"
"kıymettar","kıymetli, değerli"
"sair","diğer"
"hayvânât","hayvanlar"
"nev'i","çeşit"
"kat'î","kesin"
"hads","güçlü sezgi, seziş"
"haşir ve neşr-i ekber","öldükten sonra yeniden diriltilip Allah'ın huzurunda toplanma ve tekrar dağılıp yayılma"
"beşer","insan"
"cism","beden"
"NOTA","bildiri"
"nota","bildiri"
"Avrupa fünunu ve medeniyeti","Avrupa fenleri ve medeniyeti"
"Eski Said","Bediüzzaman'ın kendisi için kullandığı tabirdir. Risale-i Nur'un yazılmaya başlandığı zamana kadarki dönemi ifade eder; bk. Bediüzzaman Said Nursî"
"harekât-ı fikriye","fikir hareketleri, düşünce alanındaki hareketler"
"Avrupa'nın fünun ve medeniyeti","Avrupa fenleri ve medeniyeti"
"seyahat-i kalbiye","kalple yapılan mânevî yolculuk"
"emrâz-ı kalbiye","kalp hastalıkları, mânevî hastalıklar"
"inkılâp","dönüşmek"
"ziyade","çok, fazla"
"müşkilât","zorluklar"
"medar","sebep, kaynak"
"bilmecburiye","zorunlu olarak"
"muzahraf","sahte, kof"
"sefih","yasak zevk ve eğlencelere aşırı düşkün olan"
"Avrupa","bk. Avrupa"
"şehadet","şahitlik eden"
"hissiyât-ı nefsaniye","nefse ait duygular"
"Avrupa","bk. Avrupa"
"şahs-ı mânevî","belli bir kişi olmayıp, bir topluluktan meydana gelen mânevî kişilik"
"cihet","yön, taraf"
"cihet","yön, taraf"
"muhavere","karşılıklı konuşma"
"Avrupa","bk. Avrupa"
"İsevîlik","bk. Hıristiyanlık"
"din-i hakikî","gerçek din"
"feyiz","mânevî gıda, bereket"
"hayat-ı içtimaiye-i beşeriye","insanların sosyal hayatı"
"nâfi","faydalı"
"adalet","her hak sahibine hakkının tam ve eksiksiz verilmesi"
"hakkaniyet","doğruluk, haklı olmak"
"fünun","ilimler"
"Avrupa","bk. Avrupa"
"hitap","konuşma"
"felsefe-i tabiiye","her şeyi tabiata dayandıran felsefe"
"zulmet","karanlık"
"seyyiât","günahlar, kötülükler"
"mehâsin","güzellikler"
"beşer","insan"
"sefâhet","yasak zevk ve eğlencelere düşkünlük; beyinsizce davranış"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"sevk","yönlendiren"
"Avrupa","bk. Avrupa"
"hitap","konuşma"
"seyahat-i ruhiye","ruhla yapılan mânevî yolculuk"
"mehâsin-i medeniyet","modern medeniyetin insanlığa sunduğu güzellikleri"
"fünun-u nâfia","faydalı ilimler"
"mâlâyâni","anlamsız, faydasız"
"muzır","zararlı"
"muzır","zararlı"
"sefih","yasak zevk ve eğlencelere aşırı düşkün olan"
"Avrupa","bk. Avrupa"
"şahs-ı mânevî","belli bir kişi olmayıp, bir topluluktan meydana gelen mânevî kişilik"
"Avrupa","bk. Avrupa"
"sakîm","hastalıklı, bozuk"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"sefih","yasak zevk ve eğlencelere aşırı düşkün olan"
"muzır","zararlı"
"Beşer","insan"
"saadet","mutluluk"
"küfür","inkâr ve inançsızlık"
"küfrân","nankörlük"
"neşreden","yayan"
"bedbaht","kötü bahtlı, tahlihsiz"
"musibet","belâ, dert"
"musibetzede","belâya, sıkıntıya düşmüş olan kimse"
"zâhirî","açık"
"suret","biçim, şekil"
"ziynet","süs"
"saadet","mutluluk"
"mesut","mutlu"
"Âyâ","acaba"
"cüz'î","ferdî, az, küçük"
"meyus","ümitsiz"
"vehmî","olmadığı halde varmış gibi görünen"
"emel","umut, istek"
"ehemmiyetsiz","önemsiz, değersiz"
"inkisar-ı hayal","hayal kırıklığı"
"tazip","azaplandırma, eziyet verme"
"şeâmet","kötülük, uğursuzluk"
"dalâlet","inançsızlık, hak yoldan sapkınlık"
"dalâlet","inançsızlık, hak yoldan sapkınlık"
"cihet","şekil, yön"
"emel","umut, istek"
"inkıtaa","kesintiye uğrama"
"elem","acı, keder"
"neş'et","doğan, meydana gelen"
"biçare","çaresiz, zavallı"
"saadet","mutluluk"
"zâil","geçici, yok olucu"
"mesut","mutlu"
"biçare","çaresiz, zavallı"
"beşer","insanlık"
"beşer","insanlık"
"nefs-i emmâre","insanı daima kötülüğe, yasak zevk ve isteklere teşvik eden güç"
"temsil","analoji, kıyaslama tarzında benzetme"
"beşer","insanlık"
"sevk","yöneltmek"
"biçare","çaresiz, zavallı"
"âciz","güçsüz"
"eşya","şeyler, varlıklar"
"gasp","zorla almak"
"harap","yıkma, yok etme"
"semâ","gök"
"minval","yol; tarz, biçim"
"mazlum","zulme uğramış"
"umumî","genele ait"
"cihet","şekil, yön"
"gayr","başkası"
"elem","acı, keder"
"müteellim","elemli, acı duyan"
"hadsiz","sınırsız"
"elem","acı, keder"
"giriftar","tutulmak"
"teellüm","elem duyma, üzülme, tasalanma"
"tahammül","dayanma, katlanma"
"tecerrüt","sıyrılma, arınma"
"nihayetsiz","sonsuz"
"iltizam","gerekli görme"
"selâmet","esenlik, güvenlik"
"umum","genel, bütün"
"helâket","mahvolma, yok oluş"
"müteessir","etkilemek, üzmek"
"mukteza","gerek"
"sefahet","gayrı meşru zevk ve eğlence"
"dalâlet","inançsızlık, hak yoldan sapkınlık"
"İsevî dini","bk. Hıristiyanlık"
"Avrupa","bk. Avrupa"
"Deccal","kıyamet kopmadan önce gelen, İslâmı kaldırmaya kalkan yalancı ve aldatıcı kimse; bk. Deccal"
"dehâ","felsefeyle eğitilmiş olağanüstü zekâ ve akıl"
"ruh-u beşer","insan ruhu"
"cehennemî","cehennem gibi"
"hâlet","durum, hal"
"illet","hastalık"
"âlâ-yı illiyyîn","en yüksek mertebe"
"esfel-i sâfilîn","aşağıların en aşağısı"
"hayvânât","hayvanlar"
"bedbaht","kötü bahtlı, talihsiz"
"illet","hastalık"
"muvakkaten","geçici olarak"
"iptal-i his","hisleri uyuşturma, duyguları vazifelerini yapamaz hale getirme"
"cazibedar","cazibeli, çekici"
"hevesat","hevesler, arzu ve istekler"
"fantaziye","aşırı süs ve lüks"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"hidayet","doğru ve hak olan yol, İslâmiyet"
"beşer","insanlık"
"menzil","konaklama yeri"
"mekân","yer"
"sultan-ı âdil","adaletle hükmeden sultan"
"müstakim","dosdoğru olan"
"terhis","göreve son vermek, serbest bırakmak"
"mîrî","devlete ait"
"levazımat","ihtiyaç duyulan araç ve gereçler"
"tezkere","belge"
"terhis","göreve son vermek, serbest bırakmak"
"nefer","asker, er"
"çendan","gerçi"
"ünsiyet","cana yakın olma, alışma"
"zâhiren","dış görünüş itibariyle"
"mahzun","hüzünlenmek"
"hakikat","gerçek, bir şeyin gerçek yönü"
"müferrah","ferahlamak, rahatlamak"
"pâyitaht","başkent"
"cihet","yön, taraf"
"terhis","göreve son vermek, serbest bırakmak"
"nefer","asker, er"
"Nefer","asker, er"
"Nefer","asker, er"
"nefs","kişinin kendisi"
"nefs","kişinin kendisi"
"nefs","kişinin kendisi"
"mâlik","sahip"
"muhafaza","koruma, saklama"
"haysiyet","itibar, şeref"
"himaye","koruma"
"izzet","değer, itibar, yücelik"
"vikaye","koruma"
"medar-ı sürur ve saadet","sevinç ve neşe kaynağı"
"ahval","haller, durumlar"
"nümune","örnek"
"Sair","diğer"
"ahvâl","haller, durumlar"
"kıyas","karşılaştırmak"
"sefer","yolculuk"
"tevellüdat","doğumlar"
"nam","ad"
"tahşidat","yığınak yapma işlemleri"
"sevkiyat-ı askeriye","askerlerin belli hedeflere doğru yönlendirilmesi"
"vefiyat","vefatlar, ölümler"
"nam","ad"
"sürur","mutluluk, sevinç"
"terhisat-ı askeriye","askerlikten terhis etmeler"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"beşer","insanlık"
"cihan","dünya, âlem"
"mahzun","hüzünlü"
"havf","korkmak"
"Avrupa","bk. Avrupa"
"esas","temel"
"esas","temel"
"melek","nurdan yaratılmış varlık"
"semeğe","balık"
"zîhayat","canlı"
"nefs","kendisi"
"mâlik","sahip"
"zât","kendisi"
"hakk-ı hayat","yaşama hakkı"
"Gaye-i himmet","gayret ve çabanın dayandığı gaye"
"hedef-i maksad","varılmak istenen maksat"
"beka","devamlılık, kalıcılık"
"Hâlık-ı Kerîm","ikramı bol ve her şeyi yaratan Allah"
"kerem","cömertlik, ikram"
"düstur","kural"
"erkân-ı kâinat","kâinatı oluşturan temel unsurlar"
"kemâl-i itaat","tam ve eksiksiz itaat"
"imtisal edilen","uyulan, boyun eğilen"
"düstur-u teavün","yardımlaşma kanunu"
"nebâtat","bitkiler"
"hayvânât","hayvanlar"
"hayvânat","hayvanlar"
"tezahür","ortaya çıkan, görünen"
"kanun","tabiat olaylarının bağlı olduğu değişmez kural"
"rahîmâne","çok şefkatli bir şekilde"
"kerîmâne","çok cömert bir şekilde"
"cilve","görüntü, yansıma"
"cidal","mücadele"
"cidal","mücadele"
"ahmakane","ahmakça"
"düstur-u teavün","yardımlaşma kanunu"
"cilve","görüntü, yansıma"
"zerrât-ı taâmiye","yiyecekleri oluşturan atomlar"
"kemâl-i şevk","tam ve kusursuz bir istek"
"cidal","mücadele"
"Kerîm","sonsuz cömertlik ve ikram sahibi olan Allah"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"teavün","yardımlaşma"
"esas","temel"
"nefs","kendisi"
"mâlik","sahip"
"nefs","kendisi"
"mâlik","sahip"
"kat'î","kesin, şüphesiz"
"Esbab","sebepler"
"eşref","en şerefli"
"ihtiyar","dileme, istek, irade"
"irade","dileme, tercih etme ve seçme gücü"
"zâhir","açık, gözle görünür"
"ef'âl-i ihtiyariye","iradeyle yapılan davranışlar, fiiller"
"cüz'","kısım, parça"
"dest-i ihtiyar","irade ve dileme eli"
"daire-i iktidar","gücü kullanabilme dairesi"
"meşkûk","şüpheli"
"zâhir","açık, gözle görünür"
"cüz'","kısım, parça"
"cüz'","kısım, parça"
"mâlik","sahip"
"mâlik","sahip"
"eşref","en şerefli"
"ihtiyar","dileme, istek, irade"
"hakikî","gerçek"
"tasarruf","dilediği gibi kullanma ve yönetme"
"temellük","sahiplenme"
"Sair","diğer"
"hayvânat","hayvanlar"
"cemâdat","cansız varlıklar"
"mâlik","sahip"
"ziyade","çok, fazla"
"cemâdat","cansız varlıklar"
"ziyade","çok, fazla"
"câmid","cansız"
"şuursuz","bilinçsiz"
"varta","tehlike"
"dehâ","felsefeyle eğitilmiş olağanüstü zekâ ve akıl"
"menhus","uğursuz"
"dehâ","felsefeyle eğitilmiş olağanüstü zekâ ve akıl"
"hâlık","yaratıcı"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"mevhum","gerçekte olmadığı halde var sayılan"
"isnad","dayandırmak"
"âsâr","eserler"
"esbab","sebepler"
"Hâlık","her şeyi yaratan Allah"
"bâtıl","hak olmayan"
"mâbud","ibadet edilen"
"tâğut","ibadet edilen bâtıl şey, put"
"taksim","bölüştürmek, paylaştırmak"
"dehâ","felsefeyle eğitilmiş olağanüstü zekâ ve akıl"
"nazar","bakış, düşünce"
"zîhayat","canlı"
"hadsiz","sınırsız, sayısız"
"a'dâ","düşmanlar"
"mukavemet","dayanmak, karşı koymak"
"nihayetsiz","sınırsız"
"hâcât","ihtiyaçlar"
"tahsil","elde etme, kazanma"
"zerre","atom, çok küçük parça"
"iktidar","güç, kuvvet"
"ihtiyar","dileme, istek, irade"
"zâil","geçip gidici, yok olucu"
"lem'a","parıltı"
"şuur","bilinç, anlayış"
"şule","alev"
"hadsiz","sınırsız, sayısız"
"a'dâ","düşmanlar"
"hâcât","ihtiyaçlar"
"biçare","çaresiz"
"zîhayat","canlı"
"matlup","istenen şey"
"kâfi","yeterli"
"Musibet","belâ, büyük sıkıntı"
"giriftar","tutulmak"
"esbab","sebepler"
"sır","gizli gerçek"
"mazhar","erişmek"
"dehâ","felsefeyle eğitilmiş olağanüstü zekâ ve akıl"
"nev-i beşer","insanlar"
"kalb","dönüştürmek"
"zulüm","haksızlık"
"zulmetli","karanlık"
"muvakkat","geçici"
"tenvir","aydınlatmak"
"sürur","mutluluk, sevinç"
"beşer","insanlık"
"beşer","insanlık"
"eblehâne","ahmakçasına"
"müstehziyâne","alay edercesine"
"zîhayat","canlı"
"şakirt","talebe, öğrenci"
"nazar","bakış, düşünce"
"zalim","haksızlık eden"
"mâruz","hedef olma, yüz yüze gelme"
"miskin","zavallı"
"musibetzede","musibete uğrayan"
"matemhane-i umumiye","genel yas evi"
"sadâ","ses"
"elem","acı, keder"
"vâveylâ","çığlık, feryad"
"Firavun","bk. Firavun"
"hasis","âdi, değersiz"
"rab","yaratıcı, ilâh"
"telâkki","kabul eden"
"Firavun-u zelil","alçak bir Firavun"
"mütemerrid","inatçı, dik kafalı"
"nihayet","sonsuz derece"
"zillet","hor ve hakir duruma düşme, aşağılanma"
"miskin","zayıf"
"mütemerrid","inatçı, dik kafalı"
"Hasis","âdi, değersiz"
"cebbar","zorba, zalim"
"nokta-i istinad","dayanak noktası"
"zâtında","kendi şahsında"
"âciz","güçsüz, elinden bir şey gelmeyen"
"cebbâr-ı hodfuruş","kendini beğenen, satmaya çalışan zorba"
"gaye-i himmet","gayret ve çaba harcanarak ulaşmak istenilen hedef, gaye"
"hevesât-ı nefsâniye","nefsin gelip geçici olan arzu ve istekleri"
"hamiyet","din ve vatan gibi mukaddes değerleri ve kendi aile ve yakınlarını koruma duygusu ve gayreti"
"menfaat-i nefs","kişisel çıkar"
"teskin","sakinleştirmek, rahatlatmak"
"dessas","hilebaz, aldatıcı"
"Nefs","kişinin kendisi"
"nefs","kişinin kendisi"
"hâlis","içten, karşılıksız"
"abd","kul"
"âzam-ı mahlûkat","varlıkların en büyükleri"
"ubudiyet","kulluk"
"tenezzül","inme, alçalma"
"âzam","en büyük"
"gaye-i ubudiyet","kulluğun gayesi"
"abd-i aziz","izzetli kul, Allah'tan başkasına müracaat etmeyen ve minnet duymayan kul"
"halim selim","yumuşak huylu ve sağlam karakterli kişi"
"Fâtır-ı Zülcelâl","sonsuz büyüklük sahibi olan ve her şeyi yoktan yaratan Allah"
"tezellül","alçalma, kendisini küçük düşürme"
"tenezzül","inme, alçalma"
"halîm-i âlihimmet","yumuşak huylu olmasının yanı sıra kutsal değerler uğruna gayret gösteren"
"Mâlik-i Kerîm","sonsuz cömertlik sahibi ve her şeyin gerçek sahibi olan Allah"
"iddihar","biriktirmek, depolamak"
"mükâfat","ödül"
"fakir-i müstağnî","fakir olmakla birlikte Allah'tan başkasına muhtaç olmayan kişi"
"kudret","güç, kuvvet"
"nihayetsiz","sınırsız"
"Seyyid","her şeyi emrinde tutan ve herşeyin efendisi olan Allah"
"istinad","dayanan"
"zaif-i kavî","zayıflığında kuvvet bulunan"
"hakikî","gerçek"
"Cennet-i ebediye","sonsuz Cennet hayatı"
"gaye-i maksat","asıl hedef, ulaşılmak istenen maksat"
"zâil","geçip gidici, yok olucu"
"fâni","geçici olan, ölümlü"
"gaye-i maksat","asıl hedef, ulaşılmak istenen maksat"
"himmet","ciddî gayret"
"felsefe-i sakîme","insanları yanlış yöne götüren, hastalıklı felsefe"
"şakirt","talebe, öğrenci"
"Kur'ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur'ân"
"tilmiz","öğrenci"
"hamiyet","din ve vatan gibi mukaddes değerleri ve kendi aile ve yakınlarını koruma duygusu ve gayreti"
"muvazene","karşılaştırmak"
"nefs","kişinin kendisi"
"semâvat","gökler"
"arz","yeryüzü"
"umum","bütün"
"salih","iyi işler yapan, dinin emirlerine uyan kimse"
"ibâd","kullar"
"telâkki","kabul etmek, algılamak"
"samimî","içten"
"suret","biçim, şekil"
"saadet","mutluluk"
"mes'ut","mutlu"
"şedit","şiddetli"
"alâka","ilgi"
"Arş","Allah'ın büyüklük ve yüceliğinin ve herşeyi kuşatan sınırsız egemenliğinin tecelli ettiği yer"
"şems","güneş"
"musahhar","boyun eğmiş"
"abd","kul"
"mahlûk","yaratılmış, varlık"
"telâkki","kabul etmek, algılamak"
"ulviyet","yücelik"
"inbisat-ı ruh","ruh genişlemesi"
"kıyas","karşılaştırma"
"şakirt","talebe, öğrenci"
"inbisat","genişleme, yayılma"
"ulviyet","yücelik"
"tesbih","Allah'ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"esmâ-i İlâhiye","Allah'ın isimleri"
"cilve","görünme, yansıma"
"âlem","dünya, evren"
"zerrât","zerreler, atomlar"
"tesbih","Allah'ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"şakirt","talebe, öğrenci"
"Evrad","okunması adet olan dualar"
"tilmiz","öğrenci"
"Şah-ı Geylânî","bk. Abdülkadir-i Geylânî (k.s.)"
"Rufâî","bk. Rufâî"
"Şâzelî","bk. Şâzelî"
"şakirt","talebe, öğrenci"
"vird","devamlı yapılan zikir"
"silsile-i zerrât","zerreler, atomlar zinciri"
"katarat","damlalar"
"mahlûkat","varlıklar"
"aded-i enfâs","canlıların hayatları boyunca aldıkları nefeslerin sayısı"
"evrad","okunması adet olan dualar"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"zikir","Allah'ı anma"
"tesbih","Allah'ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"Kur'ân-ı Mu'cizü'l-Beyân","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur'ân"
"mucizâne","mucizeli şekilde"
"ednâ","en basit, en küçük"
"keder","sıkıntı, üzüntü"
"gam","sıkıntı, üzüntü"
"mağlûp","yenilen"
"terbiye-i Kur'ân","Kur'ân'ın terbiyesi"
"teâli","yüceltmek"
"letâif","insanın ruhundaki ince duygular"
"inbisat","genişleme"
"mevcudat","varlıklar"
"vird","devamlı yapılan zikir"
"tesbih","Allah'ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"zikir","Allah'ı anma"
"vird","devamlı yapılan zikir"
"nefs","kişinin kendisi"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"ednâ","en basit, en küçük"
"mahlûk","yaratılmış, varlık"
"Nihayet","sınırsız"
"izzet","değer, itibar, yücelik"
"nihayet","sınırsız"
"tevazu","alçakgönüllülük"
"cem","toplamak"
"nisbeten","oranla, kıyasla"
"pest","aşağı"
"kıyas","karşılaştırmak"
"felsefe-i sakîme-i Avrupaiye","Avrupa'nın hastalıklı ve karanlık felsefesi; bk. Avrupa"
"yek-çeşm","tek gözlü"
"dehâ","felsefeyle eğitilmiş olağanüstü zekâ ve akıl"
"hakikat","gerçek"
"cihan","dünya, âlem"
"gayb-âşinâ","gaybı bilen, görünmeyenden haberi olan"
"âlem","dünya, evren"
"nazar","bakış"
"beşer","insan"
"saadet","mutluluk"
"hüdâ-yı Kur'ânî","Kur'ân'ın gösterdiği hak ve hidayet yolu"
"nefis","kişinin kendisi"
"mülk","sahip olunan şey"
"mâlik","her şeyin hakiki sahibi olan Allah"
"kadîr","gücü yeten iktidar sahibi"
"Rahîm-i Kerîm","sonsuz şefkat ve merhamet sahibi olan ve sınırsız bir cömertliği olan"
"mülk","sahip olunan şey"
"muhafaza","korumak"
"zayi","kayıp"
"mühim","önemli"
"muvazzaf","görevli"
"namıyla","adıyla"
"amel","hareket etmek"
"takat","güç, kuvvet"
"muhafaza","korumak"
"Mâlik","her şeyin hakiki sahibi olan Allah"
"esmâ","isimler"
"şuûnât","fiiller, işler"
"mazhariyet","elde etme, edinme"
"musibet","belâ, büyük sıkıntı"
"Mâlik","her şeyin hakiki sahibi olan Allah"
"musibet","belâ, büyük sıkıntı"
"rıza","memnuniyet, hoşnutluk"
"safâ geldin","hoş geldin"
"müştâk","düşkün, aşık"
"tekâlif","yükümlülükler, ağır görevler"
"âzâd","serbest bırakmak, hürriyetine kavuşturmak"
"musibet","belâ, büyük sıkıntı"
"terhis","göreve son verme, serbest bırakma"
"âzâd","serbest bırakmak, hürriyetine kavuşturmak"
"vazifeperver","vazifesini seven, işine düşkün"
"suret","biçim, şekil"
"irade","istemek, dilemek"
"rıza","memnuniyet, hoşnutluk"
"takat","güç, kuvvet"
"Mâlik","her şeyin hakiki sahibi olan Allah"
"nümune","örnek"
"dehâ-yı felsefî","felsefeden güç alan yüksek akıl"
"hüdâ-yı Kur'ânî","Kur'ân'ın gösterdiği hak ve hidayet yolu"
"hakikat-i hal","bir durumun ardında gizlenen gerçek"
"sabıkan","bundan önce"
"beyan edilen","açıklanan"
"hidayet","Allah'ın gösterdiği doğru ve hak yol, İslâmiyet"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"mütefavit","çeşitli, farklı"
"gaflet","Allah'ın emir ve yasaklarına duyarsız davranma hâli"
"muhtelif","çeşitli"
"gaflet","Allah'ın emir ve yasaklarına duyarsız davranma hâli"
"iptal-i his","duyguyu etkisizleştirme, uyuşturma"
"elîm","acı ve sıkıntı veren"
"elem","acı, keder"
"ehl-i medeniyet","dünyaya yalnız maddî zevk ve menfaatleri için bakanlar"
"hassasiyet-i ilmiye","ilmî duyarlılık"
"tezayüd","ziyadeleşme, artma"
"mevt","ölüm"
"ikazat","uyarılar"
"gaflet","Allah'ın emir ve yasaklarına duyarsız davranma hâli"
"Ecnebî","yabancı"
"tâğut","ibadet edilen bâtıl şey, put"
"fünun-u tabiiye","tabiatın dış görünüşüyle ilgilenen ilim dalları"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"ittibâ","tabi olmak, uymak"
"nefrin","beddua"
"teessüf","üzülme, esef duyma"
"Frenk","Avrupalı"
"Âyâ","acaba"
"Avrupa","bk. Avrupa"
"hadsiz","sınırsız, sayısız"
"zulüm","haksızlık"
"adâvet","düşmanlık"
"sefahet","zevk ve eğlenceye düşkünlük"
"bâtıl","hak olmayan"
"efkâr","fikirler, düşünceler"
"ittibâ","tabi olmak, uymak"
"emniyet","güvenme"
"Sefihâne","zevk ve yasak şeylere düşkün olarak"
"ittibâ","tabi olmak, uymak"
"iltihak","katılmak"
"Âgâh","uyanık, aklı başında"
"ittibâ","tabi olmak, uymak"
"hamiyet","din ve vatan gibi mukaddes değerleri koruma gayreti"
"suret","biçim, şekil"
"istihfaf","hafife alma"
"istihzâ","alay etme"
"NOTA","bildiri"
"kâfir","Allah'ı veya Allah'ın bildirdiği kesin olan bir şeyi inkâr eden kimse"
"hakaik-i imaniye","iman hakikatleri"
"ittifak","anlaşma, birlik"
"itikad","inanç"
"biçare","çaresiz"
"kemiyet","sayı çokluğu"
"inkılâp","dönüşmek"
"frenk","Avrupalı"
"frenkmeşrep","Avrupalıları taklit edenler"
"ihtirâsât-ı hayvâniye","hayvanî istek ve arzularda aşırılıklar"
"terakki","ilerlemek, gelişmek"
"hayvâniyet","hayvanlık"
"hayvânât","hayvanlar"
"kemiyet","sayı çokluğu"
"hadsiz","sınırsız, sayısız"
"nisbeten","kıyasla, oranla"
"umum","bütün"
"envâ-ı hayvânat","hayvan türleri"
"halife","yeryüzünde Allah namına hareket eden insan"
"hâkim","hükmeden, idaresi altında tutan"
"muzır","zararlı"
"kâfir","Allah'ı veya Allah'ın bildirdiği kesin olan bir şeyi inkâr eden kimse"
"kâfir","Allah'ı veya Allah'ın bildirdiği kesin olan bir şeyi inkâr eden kimse"
"sefih","yasak zevk ve eğlencelere aşırı düşkün olan"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"hayvânât","hayvanlar"
"nevi","çeşit"
"habis","kötü, pis"
"Fâtır-ı Hakîm","her şeyi sınırsız bir hikmetle ve benzersiz olarak yaratan Allah"
"imâret","imar etme, kurma"
"halk","yaratmak"
"Mü'min","Allah'a inanan"
"ibâd","ibadet edenler"
"vâhid-i kıyasî","ölçü birimi"
"âkıbet","netice, son"
"müstehak","hak etmiş, layık"
"küffâr","kâfirler, inkârcılar"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"hakikat-i imaniye","iman esaslarıyla bağlantılı olan gerçek"
"nefiy","inkâr"
"ittifak","anlaşma, birlik"
"hükm","hakimiyeti altına alma"
"ahali","halk"
"cemm-i gafîr","kalabalık insan topluluğu"
"nefiy","inkâr"
"ittifak","anlaşma, birlik"
"sukut","düşmek, hükümsüz olmak"
"küfr","inkâr, inançsızlık"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"mahiyet","nitelik, özellik"
"nefiy","inkâr"
"cehil","cahillik, bilgisizlik"
"adem","yokluk, hiçlik"
"küffâr","kâfirler, inkârcılar"
"kesretle","çoklukla"
"ittifak","anlaşma, birlik"
"ehemmiyetsiz","önemsiz"
"Ehl-i hak","doğru ve hak yolda olan kimseler"
"sübut","bir şeyin var olması"
"mesâil-i imaniye","imanla ilgili meseleler"
"şuhud","görme, şahid olma"
"istinad","dayanan"
"mü'min","Allah'a inanan"
"hükm","hakimiyeti altına alma"
"hadsiz","sınırsız"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"ittifak","anlaşma, birlik"
"râcih","üstün gelen"
"galebe","üstün gelme"
"hakikat","gerçek"
"suret","biçim, şekil"
"müteaddit","bir çok, çeşitli"
"ittihad","birleşme"
"ittihad","birleşme"
"hilâl-i Ramazan","Ramazan ayının başladığını gösteren hilâl; yeni ay"
"nazar","bakış"
"Nazar","bakış"
"nazar","bakış"
"nazar","bakış"
"nazar","bakış"
"esbab","sebepler"
"nazar","bakış"
"Nefsü'l-emir","işin hakikati, aslı"
"Nefsü'l-emir","işin hakikati, aslı"
"nazar","bakış"
"hükm","hakimiyeti altına alma"
"nefsü'l-emir","işin hakikati, aslı"
"nefiy","inkâr"
"ihata","içine alma, kapsama"
"kaide-i usul","usûl kuralı, metodolojide kullanılan bir kural"
"kâfi","yeterli"
"nefiy","inkâr"
"binaen","dayanarak"
"ehl-i küfr","inkârcılar, inançsızlar, kâfirler"
"hakikat","doğru, gerçek"
"nefyetme","inkâr etme"
"misal","örnek"
"nefsü'l-emir","işin aslı, hakikati"
"hakikat-i hal","içinde bulunan şartların perde arkasındaki gerçek"
"müddeâ","iddia edilen"
"ittihad","birleşmek"
"ziyade","çok, fazla"
"NOTA","bildiri"
"teşvik","şevklendiren, isteklendiren"
"terakkiyât-ı ecnebiye","yabancıların sağladığı gelişmeler, ilerlemeler"
"cebir","zorlama"
"sevk","yönlendiren"
"bedbaht","talihsiz, bahtsız"
"hamiyetfuruş","hamiyetlilik taslayan"
